epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.8484,1.33547,2.87032,1.64319,0.57454,0.85,0.87817,0.63489,1.64738,1.07188,1.38135,0,0,0
2,6.79551,1.20449,2.69459,1.51108,0.56574,0.85,0.8488,0.6319,1.64478,1.06182,1.37173,1.17822e-06,1.17822e-06,1.17822e-06
3,8.87378,1.15966,3.63456,1.57285,0.55955,0.85,0.85083,0.63276,1.66527,1.06255,1.37731,2.33288e-06,2.33288e-06,2.33288e-06
4,10.7772,1.27722,2.7409,1.38867,0.56025,0.85,0.84952,0.61586,1.65912,1.05503,1.37599,3.46397e-06,3.46397e-06,3.46397e-06
5,12.5934,1.37189,3.08585,1.72628,0.56731,0.85,0.85526,0.63771,1.65728,1.04231,1.36954,4.5715e-06,4.5715e-06,4.5715e-06
6,14.5194,1.56146,4.11487,1.96444,0.54412,0.85,0.8936,0.63825,1.68395,1.05985,1.37578,5.65548e-06,5.65548e-06,5.65548e-06
7,16.6804,1.13966,1.91377,1.41946,0.53943,0.85175,0.89406,0.64255,1.68263,1.06074,1.37523,6.71588e-06,6.71588e-06,6.71588e-06
8,18.7502,1.37578,4.02028,1.61424,0.55027,0.8595,0.85911,0.61257,1.642,1.05878,1.35112,7.75273e-06,7.75273e-06,7.75273e-06
9,22.6879,1.11601,2.70442,1.41089,0.56883,0.86388,0.81827,0.59503,1.66343,1.06078,1.36159,8.76602e-06,8.76602e-06,8.76602e-06
10,24.7149,1.18649,3.44812,1.5955,0.57996,0.86409,0.81418,0.59503,1.65521,1.05796,1.35487,9.75574e-06,9.75574e-06,9.75574e-06
11,26.862,1.20761,2.46993,1.4528,0.59064,0.86375,0.85581,0.6199,1.65231,1.06461,1.35415,1.07219e-05,1.07219e-05,1.07219e-05
12,29.0315,0.99159,2.00734,1.36619,0.58563,0.86406,0.85561,0.62083,1.66128,1.07515,1.36172,1.16645e-05,1.16645e-05,1.16645e-05
